"Identifier","Organisation_Name","Sub_building_Name","Building_Name","Building_Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates"
73,NA,NA,NA,"30","LEIGHERY ROAD",NA,NA,NA,"BALLYLEIGHERY UPPER","LIMAVADY","LONDONDERRY","BT490JG",270404,431604
75,NA,NA,NA,"38","CURRAGH ROAD",NA,NA,"BALLYSCULLION","DUNCRUN","LIMAVADY","LONDONDERRY","BT490JE",268543,432534
76,NA,NA,NA,"405","SEACOAST ROAD",NA,NA,NA,"CLOONEY","LIMAVADY","LONDONDERRY","BT490LW",268640,433777
89,NA,NA,NA,"370","SEACOAST ROAD",NA,NA,NA,"BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LA",267172,432608
92,NA,NA,"TELEPHONE EXCHANGE",NA,"SEACOAST ROAD",NA,NA,NA,"OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JY",266864,431456
99,NA,NA,NA,"21","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267148,432852
226,NA,NA,NA,"254","SEACOAST ROAD",NA,NA,NA,"BELLARENA","LIMAVADY","LONDONDERRY","BT490HZ",266391,429886
236,NA,NA,NA,"100","DOWLAND ROAD",NA,NA,"FRUITHILL","CARBULLION","LIMAVADY","LONDONDERRY","BT490HR",267029,425935
310,NA,NA,NA,"47","DOWLAND ROAD",NA,NA,"FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268259,424813
455,NA,"APARTMENT E",NA,"5","LODGE COURT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EY",266899,423197
456,NA,NA,NA,"40","LINENHALL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266936,423105
457,"DRY ARCH FAMILY CENTRE (THE DEN)",NA,NA,"55","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",266943,422977
458,NA,NA,NA,"9","TYLER PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267857,423478
461,NA,NA,NA,"9","BALLYCLOSE STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267359,423426
462,NA,NA,NA,"100","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267364,422972
463,NA,NA,NA,"12","DUNMORE PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267370,422688
464,NA,NA,NA,"2","GLENBEG WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267723,421964
465,NA,NA,NA,"74A","SCROGGY ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267986,422179
466,NA,NA,NA,"51","CARLARAGH ROAD",NA,NA,NA,"TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",265869,419219
467,"CRAIGS SERVICE STATION",NA,NA,"6","BALLYCLOSE STREET",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490BN",267310,423476
468,NA,NA,NA,"42","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268024,422250
472,NA,NA,NA,"13","PROTESTANT STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BP",266982,422879
473,NA,NA,NA,"42","COOLESSAN WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267586,421786
475,NA,NA,NA,"15","GLENMILL PARK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RS",267627,421972
477,NA,NA,NA,"17","ANNADALE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267142,422786
479,NA,NA,NA,"33","MASSEY AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BN",267086,422712
481,NA,NA,NA,"6","MOYNE WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267181,422296
485,NA,NA,NA,"17A","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267710,423019
486,NA,NA,NA,"42","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268197,423183
488,NA,NA,NA,"6","JOSEPHINE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267183,422335
497,NA,NA,NA,"112","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268286,421549
498,NA,NA,NA,"60","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267290,421677
499,NA,NA,NA,"20","GLENSIDE BRAE",NA,NA,NA,"DEER PARK","LIMAVADY","LONDONDERRY","BT490RY",267918,421620
501,NA,NA,NA,"21","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268331,422310
503,NA,NA,NA,"26","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267015,423234
508,NA,NA,NA,"50","BALLYAVELIN ROAD",NA,NA,NA,"GLEBE","LIMAVADY","LONDONDERRY","BT490NQ",269945,420994
509,NA,NA,NA,"18","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267432,421762
510,NA,"FLAT 29","BENEVENAGH FOLD","102","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968
511,NA,NA,NA,"144","RINGSEND ROAD",NA,NA,NA,"DRUMRAMER","LIMAVADY","LONDONDERRY","BT490QN",274972,423478
512,NA,NA,NA,"44","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268979,422438
513,NA,NA,NA,"19","TYLER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DP",268069,423514
514,NA,NA,NA,"2","ROEMMELE HAVEN",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490EB",268431,422344
515,NA,NA,NA,"6","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268436,422229
524,NA,NA,NA,"63","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267247,422410
539,NA,NA,NA,"7","ROSSNAREEN COURT",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TQ",268822,421945
739,NA,NA,NA,"8","POLLYS BRAE ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499LL",267299,418250
768,NA,NA,NA,"60","TERRYDREMONT ROAD",NA,NA,NA,"MULKEERAGH","LIMAVADY","LONDONDERRY","BT490NR",270680,416566
770,NA,NA,NA,"20","NEW LINE ROAD",NA,NA,NA,"MAGHERAMORE","LIMAVADY","LONDONDERRY","BT499NF",263873,417749
793,NA,NA,NA,"51","EAST ROAD",NA,NA,NA,"CARRICK EAST","LIMAVADY","LONDONDERRY","BT490NW",270161,417443
1337,NA,NA,NA,"68","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268440,423038
6614,NA,NA,NA,"1F","WILLIAM STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266989,422776
6667,NA,NA,NA,"26","BALLYNARRIG ROAD",NA,NA,NA,"BALLYDARROG","LIMAVADY","LONDONDERRY","BT499LP",265389,419032
6961,NA,NA,NA,"81","BROIGHTER ROAD",NA,NA,NA,"BROGLASCO","LIMAVADY","LONDONDERRY","BT499DY",264749,425237
7083,"PEACOCKS STORES LTD",NA,NA,"18A","MARKET STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267079,423130
7084,NA,NA,NA,"24","TULLY ROAD",NA,NA,NA,"MULKEERAGH","LIMAVADY","LONDONDERRY","BT499HW",265099,421838
7143,NA,NA,NA,"32G","BALLYQUIN ROAD",NA,NA,"WHITE HILL BUSINESS PARK","CARRAN","LIMAVADY","LONDONDERRY","BT499EY",268025,421458
7389,NA,NA,NA,"4","THEIPVAL COURT",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266938,422865
7604,NA,NA,NA,"14","PLANTATION ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT499HX",268610,422920
7708,"MAGILLIGAN FIREPLACES","UNIT 9-10",NA,"454A","SEACOAST ROAD",NA,NA,NA,"MARGYMONAGHAN","LIMAVADY","LONDONDERRY","BT490LD",267364,433481
7756,"ROSEMARY KANE",NA,NA,"172A","SEACOAST ROAD",NA,NA,NA,"BALLYHENRY WEST","LIMAVADY","LONDONDERRY","BT499EF",266399,427864
7786,NA,NA,NA,"42-44","MARKET STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267048,423195
7853,NA,NA,NA,"32","ASHBOURNE ROAD",NA,NA,NA,"WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
7916,NA,NA,NA,"98","BOLEA ROAD",NA,NA,NA,"KILLYBREADY","LIMAVADY","LONDONDERRY","BT490QU",271567,425784
8023,NA,NA,NA,"27","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268205,423282
8167,NA,"2",NA,"17B","DOWLAND ROAD",NA,NA,"FRUITHILL","STREEVE","LIMAVADY","LONDONDERRY","BT490HP",268288,424054
8181,NA,NA,NA,"33","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268115,421459
8221,NA,NA,NA,"5","LAURAVALE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490EE",268492,422667
8254,"LUCILLE'S SANDWICH BAR",NA,NA,"17B","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",267070,423059
8297,NA,NA,NA,"20","KILLANE ROAD",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490DN",267560,423538
8311,NA,NA,NA,"82","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267347,423045
8852,NA,NA,NA,"20","POINT ROAD",NA,NA,NA,"OUGHTYMORE","LIMAVADY","LONDONDERRY","BT490LP",268038,434456
8884,NA,NA,NA,"58","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267933,421921
8895,"ROBERTS GENERAL GOODS",NA,NA,"49","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267066,423235
8905,NA,NA,NA,"130","CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263638,427008
8910,NA,NA,NA,"131","SEACOAST ROAD",NA,NA,NA,"CULMORE LOWER","LIMAVADY","LONDONDERRY","BT499EG",266252,426702
8911,NA,NA,NA,"47","GREYSTONE ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490ND",268160,422423
8912,NA,NA,NA,"3","GLENBURN WAY",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RN",267809,421827
8913,NA,NA,NA,"66","RINGSEND ROAD",NA,NA,NA,"KEADY","LIMAVADY","LONDONDERRY","BT490QJ",272280,423403
8937,NA,NA,NA,"17","DAISY DRIVE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490DX",268888,422200
8948,NA,NA,NA,"14","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267230,432892
9028,NA,NA,NA,"657","SEACOAST ROAD",NA,NA,NA,"UMBRA","LIMAVADY","LONDONDERRY","BT490LH",273363,435828
9641,NA,"FLAT D",NA,"38","ROE MILL ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BB",266998,422697
9752,NA,NA,NA,"132A","CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263623,426962
9801,NA,NA,NA,"14","BETTS ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PW",271796,417097
9932,NA,NA,NA,"25","ROSSNAVANNA",NA,NA,"BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268842,422077
10311,NA,NA,NA,"281","BALLYQUIN ROAD",NA,NA,NA,"MULKEERAGH","LIMAVADY","LONDONDERRY","BT499HB",269134,415089
10334,NA,NA,NA,"55","LILAC AVENUE",NA,NA,NA,"GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",267996,425060
10414,NA,NA,NA,"50","LILAC AVENUE",NA,NA,NA,"GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",268043,425098
10463,NA,NA,NA,"178","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268366,421974
11115,NA,NA,NA,"30","NEW LINE ROAD",NA,NA,NA,"MAGHERAMORE","LIMAVADY","LONDONDERRY","BT499NF",263980,417577
11246,NA,NA,NA,"18","GORTENANIMA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268852,422694
11274,NA,NA,NA,"9","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268519,422542
11329,NA,NA,NA,"96","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UQ",269145,422319
11611,NA,NA,NA,"46","ASHBOURNE ROAD",NA,NA,NA,"WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
12042,NA,NA,NA,"150","BALLYQUIN ROAD",NA,NA,NA,"TERRYDREMONT NORTH","LIMAVADY","LONDONDERRY","BT499EZ",269309,419365
12044,NA,NA,NA,"153","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SN",268347,421902
12052,NA,NA,NA,"66","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268186,421606
12055,NA,NA,NA,"130","EDENMORE ROAD",NA,NA,NA,"BALLYLEAGRY","LIMAVADY","LONDONDERRY","BT490NH",270906,419472
12056,NA,NA,NA,"19","EVENTIDE GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AX",267473,422533
12070,NA,NA,NA,"30","TIRCREVEN ROAD",NA,NA,NA,"TIRCREVEN","LIMAVADY","LONDONDERRY","BT490LN",269689,433270
12074,NA,NA,NA,"6","RATHBEG CRESCENT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AT",267524,422581
12088,NA,NA,NA,"47","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RQ",268420,422169
12138,NA,NA,NA,"30","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267234,422302
12139,NA,NA,NA,"34","GLENMORE GARDENS",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267781,422065
12160,NA,NA,NA,"19","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267286,422289
12189,NA,NA,NA,"14","BARANAILT ROAD",NA,NA,NA,"SHANREAGH","LIMAVADY","LONDONDERRY","BT499HJ",266440,422417
12263,NA,NA,NA,"44","GLENVIEW DRIVE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RZ",267674,422092
13098,NA,NA,NA,"18","COLLEGE COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267518,422339
13243,NA,NA,NA,"12","COLLEGE COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267518,422339
13349,"HOWARD CASKIE OPTOMETRY PRACTICE","1ST FLOOR OFFICE",NA,"3A","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266944,423138
13381,NA,"FLAT F",NA,"12","RATHBRADY ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BH",267065,422653
13382,"BOVALLY PHARMACY LTD",NA,NA,"8","ANDERSON AVENUE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268345,422511
13423,NA,NA,NA,"47B","BISHOPS ROAD",NA,NA,NA,"BALLYHANNA","LIMAVADY","LONDONDERRY","BT490JL",270397,427911
13928,NA,NA,NA,"32","BENEVENAGH DRIVE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AJ",267398,422646
13971,NA,NA,NA,"9","ANNADALE COURT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499EL",267048,422903
14205,NA,NA,NA,"127B","BARANAILT ROAD",NA,NA,"LIMAVADY","DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264306,419667
14539,NA,NA,NA,"46","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268863,422562
14540,NA,NA,NA,"48","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268868,422556
14545,NA,NA,NA,"17","BROIGHTER GARDENS",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GH",268886,422512
14577,"OUTDOOR CENTRE",NA,NA,"100","CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263922,427609
14698,NA,NA,NA,"7","LIMESTONE ROAD",NA,NA,NA,"DUNCRUN","LIMAVADY","LONDONDERRY","BT490LB",267295,432727
14713,NA,NA,NA,"77","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267097,432923
14728,NA,NA,NA,"5","CARRIAGE COURT",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LU",267308,432996
14731,NA,NA,NA,"133","DUNCRUN ROAD",NA,NA,NA,"LOWER BALLYLEIGHERY","LIMAVADY","LONDONDERRY","BT490JQ",269992,432803
14820,NA,NA,NA,"84","LOMOND ROAD",NA,NA,NA,"BALLYMACRAN","LIMAVADY","LONDONDERRY","BT499DZ",263833,426507
14867,NA,NA,NA,"86","DOWLAND ROAD",NA,NA,"FRUITHILL","GRANNAGH","LIMAVADY","LONDONDERRY","BT490HR",267391,425248
14878,NA,NA,NA,"68","LILAC AVENUE",NA,NA,NA,"GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",268101,425066
14891,NA,NA,NA,"8","CARROWCLARE ROAD",NA,NA,NA,"CRINDLE","LIMAVADY","LONDONDERRY","BT499ED",266023,427882
15139,NA,NA,NA,"5","DEMESNE PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HG",266885,423197
15140,NA,NA,NA,"10","TYLER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DR",267975,423612
15143,NA,NA,NA,"6","WILLIAM STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266969,422809
15146,NA,NA,NA,"1","BALLYQUIN ROAD",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499ET",267400,422239
15147,NA,NA,NA,"50","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267494,421861
15148,NA,NA,NA,"82","SCROGGY ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267985,422022
15150,NA,NA,NA,"32","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268091,421586
15152,NA,NA,NA,"73","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NY",268129,422352
15153,NA,NA,NA,"40","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QE",268133,421521
15154,NA,NA,NA,"109","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SG",268133,422635
15155,NA,NA,NA,"41","GREYSTONE ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490ND",268137,422397
15156,NA,NA,NA,"155","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268383,421460
15157,NA,NA,NA,"58","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268407,422056
15158,"CHILDRENS RESIDENTIAL UNIT","5",NA,"23","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267683,422905
15162,NA,NA,NA,"84","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490ET",267188,423367
15163,NA,NA,NA,"69","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267192,422179
15164,NA,NA,NA,"4","GLENBEG WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267734,421965
15165,NA,NA,NA,"6","GLENGIVEN AVENUE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RW",267740,421892
15168,NA,NA,NA,"74","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SE",268230,422779
15172,NA,NA,NA,"26","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267839,421979
15173,NA,NA,NA,"20","GLENGIVEN AVENUE",NA,NA,NA,"DEER PARK","LIMAVADY","LONDONDERRY","BT490RW",267867,421737
15174,NA,NA,NA,"45","DOWLAND ROAD",NA,NA,"FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268277,424783
15175,NA,NA,NA,"3","O'CAHAN WAY",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DG",267302,421704
15176,NA,NA,NA,"6","GLENMORE GARDENS",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267691,422076
15177,NA,NA,NA,"24","GLENBURN WAY",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RN",267878,421798
15180,NA,NA,NA,"170","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268330,422010
15181,NA,NA,NA,"13","CASTLE GARDENS",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268337,422949
15182,NA,NA,NA,"14","ROE MILL WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BJ",267013,422740
15183,NA,NA,NA,"90","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269168,422518
15184,NA,NA,NA,"18","DUNMORE PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267335,422668
15185,NA,NA,NA,"25","TERRYDOO ROAD",NA,NA,NA,"BALLYCRUM","LIMAVADY","LONDONDERRY","BT490PF",273491,422063
15188,NA,NA,NA,"14","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268052,422116
15189,NA,NA,NA,"22","ARDGARVAN COTTAGES",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268612,420173
15190,NA,NA,NA,"97","TERRYDOO ROAD",NA,NA,NA,"LITTLE DERRY","LIMAVADY","LONDONDERRY","BT490PF",272507,420071
15192,"B MULLAN & SONS (CONTRACTORS) LTD",NA,"BOVALLY HOUSE","Nov-13","ANDERSON AVENUE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268357,422495
15193,NA,NA,NA,"116","RINGSEND ROAD",NA,NA,NA,"LECK","LIMAVADY","LONDONDERRY","BT490QN",273975,423247
15194,NA,NA,NA,"10","DAIRYVALE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490DZ",268737,422288
15196,NA,NA,NA,"40","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268968,422452
15201,NA,"FLAT 2",NA,"163-165","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AR",267295,422406
15202,NA,NA,NA,"112","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268169,422245
15208,NA,NA,NA,"1","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268441,422595
15210,NA,NA,NA,"129","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268261,421401
15212,NA,NA,NA,"3","ROSSMARA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UA",269069,422224
15216,NA,NA,NA,"12","ROSSMORE PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490WB",269019,422017
15221,NA,NA,NA,"37","ARDGARVAN COTTAGES",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268548,420138
15224,NA,NA,NA,"8","GORTGARN ROAD",NA,NA,NA,"GORTGARN","LIMAVADY","LONDONDERRY","BT490QW",270995,423922
